,index,Avg_sent,Descriptors,Freq
402,everything,0.8490566037735849,"take ,throw ,done ,settle ,fine ,point ,pack ,point ,pack ,b ,explain ,tell ,bring ,have ,bring ,have ,get",15
403,turn,0.8,"u ,u ,they ,you ,they ,u ,they ,you ,they ,did ,u ,liao",15
404,fulfil,0.9234972677595629,"am ,rtrequirement ,ippt ,requirement ,requirements ,requirements ,requirements ,requirement ,requirements ,ipptrequirement ,requirements ,sound ,iptrequirement ,requirements ,sessions",15
405,go,0.86,"i ,you ,sessions ,school ,command ,outfield ,i ,cd",14
406,sia,0.8939393939393939,"haventbook ,complete ,closes ,closes ,fulfill ,sent ,maintain ,was",14
407,award,0.8592592592592593,"they ,they ,forces ,they ,they ,forces ,they ,they ,forces ,they ,they ,forces ,receive ,get ,get ,given ,attained ,years ,squeeze ,got",14
408,black,0.9090909090909091,"gotten ,sms ,important",14
409,ppl,0.8636363636363636,"read ,say ,follow ,do ,going ,canceled ,know",14
410,key,0.8688524590163934,"finish ,finish ,did ,finish ,finish ,did ,attending ,took ,is",14
411,wear,0.8579881656804734,"i ,tights ,i ,pants ,singlet ,specs ,ord ,sportswear ,mask ,we ,runningpouch ,who ,colour ,you ,colourah ,who ,colour ,you ,colourah ,shirt ,time ,book ,admin ,u ,gloves",14
412,combat,1.0,see,14
413,conduct,0.8623853211009175,"they ,ippt ,suspended ,hsp ,they ,iptippt ,fcc ,iptippt ,fcc ,iptippt ,they ,iptippt ,that ,iptippt ,got ,had",14
414,wan,0.8,"who ,u ,u ,dun ,dun ,who ,they",14
415,ite,0.8709677419354839,"close ,do ,close ,do ,education",14
416,fulfill,0.8743961352657005,"you ,requirements ,you ,windowrequirement ,sessions ,ippt ,window ,sia ,windows ,requirements ,you ,requirement ,fit ,it ,windows ,fit ,windows ,fit ,it ,windows ,fit ,windows ,fit ,it ,windows ,fit ,windows",14
417,weekdays,0.8888888888888888,"feasible ,got ,uni",14
418,feel,0.8105263157894737,"some ,moi ,it ,i ,best ,i ,i ,amount ,thinking ,i ,amount ,thinking ,you ,i ,we ,i ,you ,you ,i",14
420,cause,0.9130434782608695,"punngol ,this ,problems",14
422,nice,0.851063829787234,"rest ,staff ,try ,try ,wa ,chiong ,some ,others",14
423,states,0.8125,"it ,th ,website ,option ,it ,it ,all ,it ,it ,point ,it ,it ,spf",14
424,enter,0.8431372549019608,"fcc ,you ,mat ,armycamp ,armycamp ,you ,fcc ,we ,groups ,xiong ,green ,that ,you ,you ,i ,you ,charlie",14
425,instructors,0.8780487804878049,"professional ,ask ,strict ,relaxed ,strict ,relaxed ,call ,ensure ,strict ,wan ,on",14
426,website,0.875,"states ,checked ,visit ,this ,visit ,visit ,visit ,clear",14
427,pushup,0.8548387096774194,"sit ,needed ,needed ,doing ,tried ,got ,make ,got ,make ,count",14
428,yellow,0.8125,"take ,is ,is ,is",14
429,side,0.8333333333333334,"is ,go",13
430,colour,0.8518518518518519,"try ,does ,wear ,wear ,fuck",13
431,ppt,0.8591549295774648,"clear ,it ,it ,it ,it ,pass ,determine ,clarify ,satisfy ,itot ,passing",13
432,send,0.8666666666666667,"unit ,letter ,email ,unit ,letter ,email ,unit ,letter ,email ,unit ,letter ,email ,mindef ,sms ,fccs ,message ,they ,sms ,mindef ,messagereminder ,they ,notification ,i ,email ,me",13
433,nsfs,0.8636363636363636,"make ,allow ,most ,see",13
434,camps,0.8679245283018868,"parking ,same ,confirm ,have ,confirm ,have ,meet ,go",13
435,dunno,0.8536585365853658,"liaokana ,liao ,i ,hearsay ,i ,they ,they",13
436,mind,0.8571428571428571,"guys ,me ,sharing ,you ,sessions ,i ,keeping ,you",13
437,notification,0.88,"have ,received ,see ,show ,show ,receive ,receive ,received ,send ,received",13
438,appointment,0.8681318681318682,"have ,missed ,have ,missed ,book ,got ,marchrd ,book ,making ,impossible ,get ,having ,that",13
440,half,0.88,"slackdo ,slackdo ,do ,cut",13
441,request,0.8333333333333334,"he ,he ,u ,it ,you ,hotline ,mean ,iptsession ,i ,memo",13
442,xiong,0.8596491228070176,"units ,has ,slacking ,units ,has ,slacking ,units ,has ,slacking ,units ,has ,slacking ,do ,enter ,it ,bands ,more",13
443,doubt,0.7954545454545454,"i ,catch ,i ,i ,ask ,marchi ,i ,shiong ,i ,i",13
445,great,0.875,"trip ,it",13
446,min,1.0,tell,13
447,night,1.0,sleep,13
448,play,0.8260869565217391,"saf ,saf ,u ,u ,bball ,thanks ,thanks ,u ,odds",13
449,singapore,0.9117647058823529,"got ,attending ,attending ,country",13
451,example,0.8333333333333334,"week ,sir ,camp ,sir ,camp ,is",13
452,valid,0.9102564102564102,"certificate ,certificate ,certificate ,certificate ,ipptwindow ,pu ,it ,waiver",13
453,fall,0.8392857142857143,"what ,sectornumber ,camp ,ippt ,u ,u ,time ,u ,time ,you",13
454,impossible,0.8846153846153846,"which ,appointment ,it ,it",13
456,message,0.8725490196078431,"ignore ,sent ,send ,sent ,send ,forwarded ,got ,receive ,conveyed ,got ,sending ,keep ,means ,received",12
457,answers,0.8725490196078431,"get ,getting ,that ,reply ,quotecalanderseelink ,that ,reply ,having ,that ,qn ,find ,help ,help ,need",12
458,drive,0.8157894736842105,"we ,i ,i ,attirept ,motorbike ,i ,u ,u",12
459,effective,1.0,mrstatus,12
460,memo,0.8689655172413793,"write ,give ,taking ,taking ,taking ,taking ,get ,request ,pass ,follow ,request ,pass ,follow ,request ,pass ,follow ,request ,pass ,follow ,got",12
461,commitments,0.8823529411764706,"cite ,have ,have ,considering ,got",12
462,interview,0.8648648648648649,"offered ,cater ,saturday ,do ,they ,u",12
463,tho,0.8571428571428571,"that ,you ,affect ,hope ,why",12
464,applies,0.8681318681318682,"drule ,above ,iptippt ,this ,which ,ippt ,it ,action ,scenario ,fail ,manning ,that ,timing",12
465,command,0.8235294117647058,"go ,go ,have ,sch",12
