,Avg_sent,Descriptors,Freq
ripsia,1.0,siayeah,1
stupid,1.0,mindef_saf,1
think,1.0,confused,1
confused,1.0,"quite ,think",1
plan,0.6666666666666666,"also ,take",1
available,1.0,slots,1
mindeffb,1.0,posts,1
look,0.3333333333333333,take,1
stations,0.0,static,1
static,1.0,stations,1
route,1.0,"ippt ,easier",1
try,1.0,"want ,fcc",1
heng,1.0,passed,1
tekan,1.0,"jokingly ,guy",1
siayeah,1.0,ripsia,1
pop,1.0,"coy ,already ,ago",1
poor,1.0,recruit,1
coy,1.0,pop,1
hospilization,0.0,leave,1
intake,1.0,next,1
vocations,0.0,put,1
palms,1.0,sweaty,1
sweaty,1.0,palms,1
correctly,1.0,rmb,1
etc,1.0,xiong,1
stay,1.0,become,1
mp,1.0,become,1
mpcommander,1.0,new,1
bay,1.0,marina,1
penny,1.0,spent,1
chronic,1.0,skincondition,1
fine,1.0,"generally ,govt",1
govt,2.0,fine,1
generally,2.0,fine,1
queue,1.0,"big ,isnt",1
ball,1.0,need,1
doctors,1.0,need,1
officially,1.0,pes,1
mmidoctor,0.0,see,1
hospitaldoc,1.0,govt,1
serious,1.0,"condition ,enough",1
condition,1.0,serious,1
skincondition,1.0,chronic,1
bands,1.0,"colored ,issue",1
outstanding,1.0,medics,1
maintenance,1.0,seem,1
refers,1.0,post,1
ictippt,1.0,non,1
bo,0.0,fail,1
gdla,1.0,pass,1
wat,1.0,said,1
sir,0.8,"ah ,say",1
cert,1.0,present,1
hspcert,1.0,get,1
qn,1.0,got,1
cozonline,1.0,seems,1
needwait,1.0,start,1
necessary,1.0,feedback,1
honestly,1.0,speaking,1
__wwwnssg_web_wcm_connect_nsycitygalleryhttps,1.0,bayhttps,1
bayhttps,1.0,"citygallery ,__wwwnssg_web_wcm_connect_nsycitygalleryhttps",1
citygallery,1.0,"marina ,bayhttps",1
medals,1.0,"long ,service ,received",1
pay,1.0,service,1
kena,1.0,called,1
rtwindow,1.0,extend,1
rewards,0.8333333333333334,"ippt ,monetary ,save",1
monetary,2.0,rewards,1
saf100,1.0,u,1
suppose,1.0,"unit ,arrange",1
ict,1.0,"single ,done",1
bx,0.0,wake,1
cisco,1.0,instructors,1
arbo,1.0,jog,1
attempted,1.0,"u ,ippt_ictipptippt_ictippt",1
confusion,0.0,avoid,1
pros,1.0,got,1
night,1.0,last,1
ganyumobile,1.0,"waify ,using",1
waify,1.0,ganyumobile,1
usemachine,1.0,push,1
ground,1.0,"indoorcarpark ,track ,hard",1
hard,1.0,ground,1
track,1.0,ground,1
indoorcarpark,1.0,ground,1
liability,1.0,still,1
