,index,Descriptors_singlish,Freq_singlish,Avg_sent_singlish,Avg_sent_no singlish
18,iptippt,"become ,iptsession ,also ,iptsession ,sat_sun ,conduct ,take ,session ,timing ,slots ,sessions ,session ,take ,session ,take",14,0.8666666666666667,1.0
19,time,"go ,attend ,long ,first ,last ,good ,long ,give ,last ,dundeclare ,slots",13,0.9696969696969696,1.1818181818181819
20,next,"month ,cycle ,year ,finish ,window ,window ,yearseptember ,31 ,yearrt ,ipptwindow ,year ,intake ,year",13,1.0,1.0
21,first,"loh ,attend ,session ,sessions ,clear ,ipt ,shelter ,time ,rtsession ,session ,ipptwindow",13,0.9696969696969696,1.0
22,really,"comprehensive ,close ,missed ,want ,feel ,early ,rollercoaster ,wants ,knows",12,1.0,1.0
23,clear,"loh ,n't ,ipt ,rts ,asap ,first ,wan ,cycles ,windows ,10 ,n't ,many ,make ,years ,one",12,1.0666666666666667,1.0
24,last,"timeliao ,week ,night ,year ,time ,timeliao ,july ,session ,time ,yeari",12,1.0,1.0
25,anyone,"elaborate ,know ,confirm ,know ,went ,knows ,knows ,got ,knows ,know",11,1.0,1.0
26,unit,"commanders ,suppose ,man",11,1.0,1.0
27,pes,"f ,status ,e1 ,officially ,e1 ,officially ,status ,choose ,c ,c ,c",11,1.0,1.0
28,many,"ppl ,attempt ,sessions ,thanks ,clear ,defaulters ,years ,loans ,slots ,people",10,1.1,1.1
29,same,"thing ,windows ,time ,thing ,workyear ,window ,much ,day",10,1.0,1.0
30,gagt,"using ,gagt ,f ,using ,using ,using ,using ,using",10,1.0,1.0
31,already,"throw ,cleared ,means ,served ,sessions ,indeed ,46 ,seek ,pop ,waiting",9,1.0,1.0
32,thanks,"ok ,many ,see",9,0.6666666666666666,1.0
33,back,"carry ,returning ,carry ,returning ,going ,man ,came ,seen ,go ,get ,came",9,1.0,1.0
34,ns,"booklet ,portal ,portal ,portal ,hotline ,portal ,portal ,journey",9,1.0,1.0
35,current,"planning ,windows ,planning ,windows ,window ,window ,window ,window ,window ,window ,window ,window",8,1.0,1.0
36,there,"went ,book",8,1.0,1.0
37,portal,"ns ,ns ,check ,ns ,ns ,seem ,ns ,ns",8,1.0,1.0
38,more,"365 ,ippt ,session ,find ,xiong ,guy ,source",8,1.0,1.0
39,long,"singlet ,medals ,time ,charged ,40 ,time ,deems ,shotts",8,1.0,1.0
40,day,"missed ,additional",8,1.0,1.0
41,months,"e1 ,took ,took ,e1 ,took ,took ,e1 ,took ,took ,e1 ,took ,took ,complete",8,1.0769230769230769,1.0769230769230769
42,https,"pay ,pay ,mid",7,1.0,1.0
43,slots,"ipt ,many ,different ,ippt ,time ,iptippt ,many ,different ,ippt ,time ,iptippt ,much ,available",7,1.0,1.0
